,length,width,observation_length,angle,speed,reward,turn_angles,strategy_type,destination,positions,current_reward,x,y,ox,oy
1,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 104.0]",-1,380,104,380,700
2,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 108.0]",-1,380,108,380,700
3,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 112.0]",-1,380,112,380,700
4,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 116.0]",-1,380,116,380,700
5,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 120.0]",-1,380,120,380,700
6,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 124.0]",-1,380,124,380,700
7,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 128.0]",-1,380,128,380,700
8,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 132.0]",-1,380,132,380,700
9,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 136.0]",-1,380,136,380,700
10,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 140.0]",-1,380,140,380,700
11,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 144.0]",-1,380,144,380,700
12,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 148.0]",-1,380,148,380,700
13,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 152.0]",-1,380,152,380,700
14,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 156.0]",-1,380,156,380,700
15,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 160.0]",-1,380,160,380,700
16,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 164.0]",-1,380,164,380,700
17,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 168.0]",-1,380,168,380,700
18,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 172.0]",-1,380,172,380,700
19,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 176.0]",-1,380,176,380,700
20,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 180.0]",-1,380,180,380,700
21,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 184.0]",-1,380,184,380,700
22,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 188.0]",-1,380,188,380,700
23,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 192.0]",-1,380,192,380,700
24,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 196.0]",-1,380,196,380,700
25,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 200.0]",-1,380,200,380,700
26,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 204.0]",-1,380,204,380,700
27,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 208.0]",-1,380,208,380,700
28,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 212.0]",-1,380,212,380,700
29,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 216.0]",-1,380,216,380,700
30,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 220.0]",-1,380,220,380,700
31,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 224.0]",-1,380,224,380,700
32,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 228.0]",-1,380,228,380,700
33,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 232.0]",-1,380,232,380,700
34,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 236.0]",-1,380,236,380,700
35,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 240.0]",-1,380,240,380,700
36,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 244.0]",-1,380,244,380,700
37,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 248.0]",-1,380,248,380,700
38,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 252.0]",-1,380,252,380,700
39,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 256.0]",-1,380,256,380,700
40,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 260.0]",-1,380,260,380,700
41,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 264.0]",-1,380,264,380,700
42,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 268.0]",-1,380,268,380,700
43,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 272.0]",-1,380,272,380,700
44,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 276.0]",-1,380,276,380,700
45,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 280.0]",-1,380,280,380,700
46,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 284.0]",-1,380,284,380,700
47,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 288.0]",-1,380,288,380,700
48,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 292.0]",-1,380,292,380,700
49,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 296.0]",-1,380,296,380,700
50,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 300.0]",-1,380,300,380,700
51,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 304.0]",-1,380,304,380,700
52,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 308.0]",-1,380,308,380,700
53,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 312.0]",-1,380,312,380,700
54,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 316.0]",-1,380,316,380,700
55,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 320.0]",-1,380,320,380,700
56,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 324.0]",-1,380,324,380,700
57,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 328.0]",-1,380,328,380,700
58,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[380.0, 332.0]",-1,380,332,380,700
59,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[377.1715728752538, 334.8284271247462]",-0.752465412,377.1715729,334.8284271,380,700
60,25,15,150,180,4,0,"[45, -45, 0]",agent,"[380, 700]","[373.1715728752538, 334.8284271247462]",-0.505951456,373.1715729,334.8284271,380,700
61,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[370.3431457505076, 337.6568542494924]",-0.75848131,370.3431458,337.6568542,380,700
62,25,15,150,180,4,0,"[45, -45, 0]",agent,"[380, 700]","[366.3431457505076, 337.6568542494924]",-0.511991547,366.3431458,337.6568542,380,700
63,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[363.51471862576136, 340.48528137423864]",-0.764585647,363.5147186,340.4852814,380,700
64,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[363.51471862576136, 344.48528137423864]",-0.985250479,363.5147186,344.4852814,380,700
65,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 347.31370849898485]",-0.767413804,360.6862915,347.3137085,380,700
66,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 351.31370849898485]",-0.982386836,360.6862915,351.3137085,380,700
67,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 355.31370849898485]",-0.982182864,360.6862915,355.3137085,380,700
68,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 359.31370849898485]",-0.981974117,360.6862915,359.3137085,380,700
69,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 363.31370849898485]",-0.981760427,360.6862915,363.3137085,380,700
70,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 367.31370849898485]",-0.981541615,360.6862915,367.3137085,380,700
71,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 371.31370849898485]",-0.981317495,360.6862915,371.3137085,380,700
72,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 375.31370849898485]",-0.981087872,360.6862915,375.3137085,380,700
73,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 379.31370849898485]",-0.980852541,360.6862915,379.3137085,380,700
74,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 383.31370849898485]",-0.980611288,360.6862915,383.3137085,380,700
75,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 387.31370849898485]",-0.980363885,360.6862915,387.3137085,380,700
76,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 391.31370849898485]",-0.980110095,360.6862915,391.3137085,380,700
77,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 395.31370849898485]",-0.979849668,360.6862915,395.3137085,380,700
78,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 399.31370849898485]",-0.97958234,360.6862915,399.3137085,380,700
79,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 403.31370849898485]",-0.979307833,360.6862915,403.3137085,380,700
80,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[360.68629150101515, 407.31370849898485]",-0.979025856,360.6862915,407.3137085,380,700
81,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[357.85786437626894, 410.14213562373106]",-0.774268443,357.8578644,410.1421356,380,700
82,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[357.85786437626894, 414.14213562373106]",-0.975393311,357.8578644,414.1421356,380,700
83,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[357.85786437626894, 418.14213562373106]",-0.975045523,357.8578644,418.1421356,380,700
84,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[357.85786437626894, 422.14213562373106]",-0.974687784,357.8578644,422.1421356,380,700
85,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[357.85786437626894, 426.14213562373106]",-0.974319662,357.8578644,426.1421356,380,700
86,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[355.0294372515227, 428.9705627484773]",-0.779244061,355.0294373,428.9705627,380,700
87,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[355.0294372515227, 432.9705627484773]",-0.970320391,355.0294373,432.9705627,380,700
88,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[352.2010101267765, 435.7989898732235]",-0.783369493,352.2010101,435.7989899,380,700
89,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[352.2010101267765, 439.7989898732235]",-0.966121363,352.2010101,439.7989899,380,700
90,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[352.2010101267765, 443.7989898732235]",-0.965596503,352.2010101,443.7989899,380,700
91,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[352.2010101267765, 447.7989898732235]",-0.965055191,352.2010101,447.7989899,380,700
92,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[352.2010101267765, 451.7989898732235]",-0.964496644,352.2010101,451.7989899,380,700
93,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[349.3725830020303, 454.6274169979697]",-0.789527023,349.372583,454.627417,380,700
94,25,15,150,180,4,0,"[45, -45, 0]",agent,"[380, 700]","[345.3725830020303, 454.6274169979697]",-0.54462577,345.372583,454.627417,380,700
95,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[342.5441558772841, 457.4558441227159]",-0.798771001,342.5441559,457.4558441,380,700
96,25,15,150,180,4,0,"[45, -45, 0]",agent,"[380, 700]","[338.5441558772841, 457.4558441227159]",-0.553885079,338.5441559,457.4558441,380,700
97,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[335.71572875253787, 460.28427124746213]",-0.808147921,335.7157288,460.2842712,380,700
98,25,15,150,180,4,0,"[45, -45, 0]",agent,"[380, 700]","[331.71572875253787, 460.28427124746213]",-0.563268385,331.7157288,460.2842712,380,700
99,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[328.88730162779166, 463.11269837220834]",-0.817644068,328.8873016,463.1126984,380,700
100,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[328.88730162779166, 467.11269837220834]",-0.931229628,328.8873016,467.1126984,380,700
101,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[326.05887450304544, 469.94112549695456]",-0.823308813,326.0588745,469.9411255,380,700
102,25,15,150,180,4,0,"[45, -45, 0]",agent,"[380, 700]","[322.05887450304544, 469.94112549695456]",-0.578534161,322.0588745,469.9411255,380,700
103,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[319.23044737829923, 472.76955262170077]",-0.833180838,319.2304474,472.7695526,380,700
104,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[319.23044737829923, 476.76955262170077]",-0.915397314,319.2304474,476.7695526,380,700
105,25,15,150,225,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 479.597979746447]",-0.839420721,316.4020203,479.5979797,380,700
106,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 483.597979746447]",-0.90901425,316.4020203,483.5979797,380,700
107,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 487.597979746447]",-0.907395044,316.4020203,487.5979797,380,700
108,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 491.597979746447]",-0.905718886,316.4020203,491.5979797,380,700
109,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 495.597979746447]",-0.903982816,316.4020203,495.5979797,380,700
110,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 499.597979746447]",-0.902183671,316.4020203,499.5979797,380,700
111,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 503.597979746447]",-0.900318073,316.4020203,503.5979797,380,700
112,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 507.597979746447]",-0.898382406,316.4020203,507.5979797,380,700
113,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 511.597979746447]",-0.896372799,316.4020203,511.5979797,380,700
114,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 515.597979746447]",-0.894285101,316.4020203,515.5979797,380,700
115,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 519.597979746447]",-0.892114863,316.4020203,519.5979797,380,700
116,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 523.597979746447]",-0.889857303,316.4020203,523.5979797,380,700
117,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 527.597979746447]",-0.887507286,316.4020203,527.5979797,380,700
118,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 531.597979746447]",-0.885059286,316.4020203,531.5979797,380,700
119,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 535.597979746447]",-0.882507351,316.4020203,535.5979797,380,700
120,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 539.597979746447]",-0.879845071,316.4020203,539.5979797,380,700
121,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 543.597979746447]",-0.877065527,316.4020203,543.5979797,380,700
122,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 547.597979746447]",-0.874161251,316.4020203,547.5979797,380,700
123,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 551.597979746447]",-0.871124171,316.4020203,551.5979797,380,700
124,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 555.597979746447]",-0.867945559,316.4020203,555.5979797,380,700
125,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 559.597979746447]",-0.864615966,316.4020203,559.5979797,380,700
126,25,15,150,270,4,0,"[45, -45, 0]",agent,"[380, 700]","[316.402020253553, 563.597979746447]",-0.861125156,316.4020203,563.5979797,380,700
